1020	Capital Normal Univ	3398	2009	188	0.094
1021	Jawaharlal Inst Postgrad Med Educ & Res	54803	2007	53	0.026
1022	Univ Texas - Hlth Sci Ctr - San Antonio	1552	2003	216	0.108
1023	Fırat Univ	722	2000	191	0.096
1024	Florida Atlantic Univ	3514	1993	201	0.101
1025	Yokohama City Univ	1442	1992	111	0.056
1026	Univ Kashmir	18785	1992	186	0.093
1027	Cranfield Univ	290	1991	249	0.125
1028	Chongqing Jiaotong Univ	19197	1991	180	0.09
1029	Roma Tre Univ	448	1988	179	0.09
1030	Çukurova Univ	705	1988	105	0.053
1031	Univ Dundee	291	1985	276	0.139
1032	Brunel Univ London	355	1985	282	0.142
1033	Univ Technol Iraq	53015	1984	132	0.067
1034	Univ Agr Faisalabad	9582	1983	227	0.114
1035	South Fed Univ	2882	1979	67	0.034
1036	N China Univ Sci & Technol	18041	1973	149	0.075
1037	Thammasat Univ	2541	1973	122	0.062
1038	Air Force Engn Univ	18691	1973	136	0.069
1039	Pompeu Fabra Univ	628	1967	235	0.119
1040	Heilongjiang Univ	9628	1965	197	0.1
1041	Univ Portsmouth	344	1964	262	0.133
1042	Govt Coll Univ Faisalabad	18991	1960	280	0.143
1043	Guangdong Ocean Univ	19198	1958	181	0.093
1044	Edith Cowan Univ	10267	1958	318	0.163
1045	Babeș-Bolyai Univ	572	1954	179	0.092
1046	Liverpool John Moores Univ	314	1953	254	0.13
1047	Suzhou Univ Sci & Technol	19159	1952	187	0.096
1048	Johannes Kepler Univ Linz	14	1948	182	0.094
1049	Gansu Agr Univ	19184	1942	180	0.093
1050	Semmelweis Univ	384	1939	212	0.109
1051	Xinjiang Med Univ	18003	1936	140	0.072
1052	Ariel Univ	18565	1932	109	0.056
1053	GLA Univ	53121	1932	156	0.081
1054	Tokushima Univ	1110	1930	99	0.051
1055	Koç Univ	1015	1930	186	0.097
1056	Macau Univ Sci & Technol	155	1927	259	0.135
1057	Univ Hyderabad	2463	1926	132	0.069
