101	Queen Mary, University of London	伦敦玛丽女王大学	英国
102	University of Arizona	亚利桑那大学	美国
103	King Abdullah University of Science and Technology	阿卜杜拉国王科技大学	沙特阿拉伯
104	Ghent University	根特大学	比利时
105	University of Colorado--Boulder	科罗拉多大学博尔德分校	美国
106	University of Florida	佛罗里达大学	美国
107	University of Oslo	奥斯陆大学	挪威
108	PSL Research University Paris (ComUE)	巴黎文理研究大学	法国
109	University of Helsinki	赫尔辛基大学	芬兰
110	Tongji University	同济大学	中国内地
111	Harbin Institute of Technology	哈尔滨工业大学	中国内地
112	Carnegie Mellon University	卡内基梅隆大学	美国
113	University of Bern	伯尔尼大学	瑞士
114	University of Texas Southwestern Medical Center--Dallas	得克萨斯大学西南医学中心（达拉斯）	美国
115	Hunan University	湖南大学	中国内地
116	University of Bristol	布里斯托大学	英国
117	Aarhus University	奥胡斯大学	丹麦
118	University of Auckland	奥克兰大学	新西兰
119	Southern University of Science and Technology	南方科技大学	中国内地
120	Wageningen University and Research Center	瓦赫宁根大学	荷兰
121	Seoul National University	首尔国立大学	韩国
122	King Abdulaziz University	阿卜杜勒-阿齐兹国王大学	沙特阿拉伯
123	University of Cape Town	开普敦大学	南非
124	Lund University	隆德大学	瑞典
125	Rockefeller University	洛克菲勒大学	美国
126	University of Southampton	南安普顿大学	英国
127	London School of Hygiene and Tropical Medicine	伦敦卫生与热带医学院	英国
128	Michigan State University	密歇根州立大学	美国
129	University of Geneva	日内瓦大学	瑞士
130	Xi'an Jiaotong University	西安交通大学	中国内地
131	Autonomous University of Barcelona	巴塞罗那自治大学	西班牙
132	Central South University	中南大学	中国内地
133	Southeast University	东南大学	中国内地
134	Universidade de São Paulo	圣保罗大学	巴西
135	Beijing Normal University	北京师范大学	中国内地
136	University of Virginia	弗吉尼亚大学	美国
137	Yonsei University	延世大学	韩国
138	University of Exeter	埃克塞特大学	英国
139	King Saud University	沙特国王大学	沙特阿拉伯
140	Sichuan University	四川大学	中国内地
141	University of California--Santa Cruz	加州大学圣克鲁斯分校	美国
142	Deakin University	迪肯大学	澳大利亚
143	Radboud University Nijmegen	拉德堡德大学	荷兰
144	Baylor College of Medicine	贝勒医学院	美国
145	Brown University	布朗大学	美国
146	Nankai University	南开大学	中国内地
147	University of Hamburg	汉堡大学	德国
148	University of Leeds	利兹大学	英国
149	Uppsala University	乌普萨拉大学	瑞典
150	McMaster University	麦克马斯特大学	加拿大
151	University of Bologna	博洛尼亚大学	意大利
152	Beijing Institute of Technology	北京理工大学	中国内地
153	Purdue University--West Lafayette	普渡大学西拉法叶分校	美国
154	University of Electronic Science and Technology of China	电子科技大学	中国内地
155	Curtin University	科廷大学	澳大利亚
156	Indiana University Bloomington	印第安纳大学伯明顿分校	美国
157	Rutgers, The State University of New Jersey--New Brunswick	罗格斯大学新布朗斯维克分校	美国
158	Sapienza University of Rome	罗马第一大学	意大利
159	University of Nottingham	诺丁汉大学	英国
