1	University of Oxford	牛津大学	英国	98.2
2	Massachusetts Institute of Technology	麻省理工学院	美国	97.7
3	Princeton University	普林斯顿大学	美国	97.2
3	University of Cambridge	剑桥大学	英国	97.2
5	Harvard University	哈佛大学	美国	97.1
5	Stanford University	斯坦福大学	美国	97.1
7	California Institute of Technology	加州理工学院	美国	96.3
8	Imperial College London	帝国理工学院	英国	94.7
9	University of California, Berkeley	加州大学伯克利分校	美国	94.4
10	Yale University	耶鲁大学	美国	94.1
11	ETH Zurich	苏黎世联邦理工学院	瑞士	93.1
12	Tsinghua University	清华大学	中国内地	93.0
13	Peking University	北京大学	中国内地	92.3
14	University of Pennsylvania	宾夕法尼亚大学	美国	90.8
15	The University of Chicago	芝加哥大学	美国	90.6
16	Johns Hopkins University	约翰斯·霍普金斯大学	美国	90.1
17	National University of Singapore	新加坡国立大学	新加坡	89.7
18	Cornell University	康奈尔大学	美国	89.5
18	University of California, Los Angeles	加州大学洛杉矶分校	美国	89.5
20	Columbia University	哥伦比亚大学	美国	89.4
21	University of Toronto	多伦多大学	加拿大	88.5
22	UCL	伦敦大学学院	英国	87.5
23	University of Michigan-Ann Arbor	密歇根大学安娜堡分校	美国	86.9
24	Carnegie Mellon University	卡内基梅隆大学	美国	85.0
25	University of Washington	华盛顿大学	美国	83.7
26	The University of Tokyo	东京大学	日本	83.5
27	Technical University of Munich	慕尼黑工业大学	德国	83.4
28	Duke University	杜克大学	美国	82.9
29	University of Edinburgh	爱丁堡大学	英国	82.5
30	Northwestern University	西北大学	美国	81.9
31	Nanyang Technological University, Singapore	南洋理工大学	新加坡	81.6
31	New York University	纽约大学	美国	81.6
33	University of Hong Kong	香港大学	中国香港	80.5
34	LMU Munich	慕尼黑大学	德国	79.7
35	École Polytechnique Fédérale de Lausanne	洛桑联邦理工学院	瑞士	79.6
36	Fudan University	复旦大学	中国内地	79.3
37	University of Melbourne	墨尔本大学	澳大利亚	79.0
38	King's College London	伦敦国王学院	英国	78.7
39	Zhejiang University	浙江大学	中国内地	78.3
40	Shanghai Jiao Tong University	上海交通大学	中国内地	77.6
41	Georgia Institute of Technology	佐治亚理工学院	美国	77.1
41	McGill University	麦吉尔大学	加拿大	77.1
41	The Chinese University of Hong Kong	香港中文大学	中国香港	77.1
41	University of Illinois at Urbana-Champaign	伊利诺伊大学厄巴纳-香槟分校	美国	77.1
43	University of British Columbia	不列颠哥伦比亚大学	加拿大	77.0
44	KU Leuven	荷语鲁汶大学	比利时	76.8
45	University of California, San Diego	加州大学圣迭戈分校	美国	76.6
46	PSL Research University Paris	巴黎文理研究大学	法国	76.5
47	Heidelberg University	海德堡大学	德国	76.3
48	University of Texas at Austin	得克萨斯大学奥斯汀分校	美国	75.8
49	University of Science and Technology of China	中国科学技术大学	中国内地	75.7
50	London School of Economics and Political Science	伦敦政治经济学院	英国	75.4
51	Karolinska Institute	卡罗林斯卡学院	瑞典	75.0
51	The University of Sydney	悉尼大学	澳大利亚	75.0
51	University of Wisconsin-Madison	威斯康星大学麦迪逊分校	美国	75.0
54	University of Manchester	曼彻斯特大学	英国	74.9
55	Delft University of Technology	代尔夫特理工大学	荷兰	74.3
56	Monash University	蒙纳士大学	澳大利亚	74.1
56	Seoul National University	首尔大学	韩国	74.1
56	The Hong Kong University of Science and Technology	香港科技大学	中国香港	74.1
59	Kyoto University	京都大学	日本	74.0
60	Nanjing University	南京大学	中国内地	73.7
60	University of Amsterdam	阿姆斯特丹大学	荷兰	73.7
62	University of California, Davis	加州大学戴维斯分校	美国	72.8
63	Brown University	布朗大学	美国	72.6
64	Wageningen University & Research	瓦赫宁根大学	荷兰	72.2
65	Washington University in St Louis	圣路易斯华盛顿大学	美国	72.0
66	Institut Polytechnique de Paris	巴黎理工学院	法国	71.6
66	Université Paris-Saclay	巴黎-萨克雷大学	法国	71.6
68	KAIST	韩国科学技术院	韩国	71.3
68	Leiden University	莱顿大学	荷兰	71.3
70	University of California, Santa Barbara	加州大学圣巴巴拉分校	美国	71.2
71	Australian National University	澳大利亚国立大学	澳大利亚	71.1
71	City University of Hong Kong	香港城市大学	中国香港	71.1
71	University of Southern California	南加州大学	美国	71.1
74	Boston University	波士顿大学	美国	70.4
74	Sorbonne University	索邦大学	法国	70.4
76	University of North Carolina at Chapel Hill	北卡罗来纳大学教堂山分校	美国	70.3
77	UNSW Sydney	新南威尔士大学	澳大利亚	70.0
78	The Hong Kong Polytechnic University	香港理工大学	中国香港	69.7
78	The University of Queensland	昆士兰大学	澳大利亚	69.7
78	University of Bristol	布里斯托大学	英国	69.7
81	University of Groningen	格罗宁根大学	荷兰	69.3
82	University of Glasgow	格拉斯哥大学	英国	68.9
83	Purdue University West Lafayette	普渡大学	美国	68.8
84	Yonsei University	延世大学	韩国	68.5
85	Sungkyunkwan University	成均馆大学	韩国	68.3
86	University of Minnesota	明尼苏达大学	美国	67.5
87	Humboldt University of Berlin	柏林洪堡大学	德国	67.2
88	University of Copenhagen	哥本哈根大学	丹麦	67.1
89	Charité - Universitätsmedizin Berlin	柏林夏里特医学院	德国	66.9
90	RWTH Aachen University	亚琛工业大学	德国	66.7
90	University of Bonn	波恩大学	德国	66.7
90	Vanderbilt University	范德堡大学	美国	66.7
93	Lund University	隆德大学	瑞典	66.6
93	University of Vienna	维也纳大学	奥地利	66.6
95	University of California, Irvine	加州大学欧文分校	美国	66.4
96	KTH Royal Institute of Technology	瑞典皇家理工学院	瑞典	66.3
96	University of Birmingham	伯明翰大学	英国	66.3
96	University of Tübingen	图宾根大学	德国	66.3
