301-400	Aalborg University	奥尔堡大学	丹麦
301-400	Anhui Medical University	安徽医科大学	中国内地
301-400	Anhui University	安徽大学	中国内地
301-400	Autonomous University of Madrid	马德里自治大学	西班牙
301-400	Chalmers University of Technology	查尔姆斯理工大学	瑞典
301-400	China University of Petroleum (East China)	中国石油大学（华东）	中国内地
301-400	Chongqing Medical University	重庆医科大学	中国内地
301-400	Dalhousie University	达尔豪斯大学	加拿大
301-400	Ecole Normale Superieure - Lyon	里昂高等师范学校	法国
301-400	Eindhoven University of Technology	埃因霍温工业大学	荷兰
301-400	Florida State University	佛罗里达州立大学	美国
301-400	Fujian Medical University	福建医科大学	中国内地
301-400	George Washington University	乔治华盛顿大学	美国
301-400	Griffith University	格里菲思大学	澳大利亚
301-400	Guangdong University of Technology	广东工业大学	中国内地
301-400	Guangxi University	广西大学	中国内地
301-400	Guangzhou Medical University	广州医科大学	中国内地
301-400	Guizhou University	贵州大学	中国内地
301-400	Hainan University	海南大学	中国内地
301-400	Hanyang University	汉阳大学	韩国
301-400	Henan University	河南大学	中国内地
301-400	Hohai University	河海大学	中国内地
301-400	James Cook University	詹姆斯库克大学	澳大利亚
301-400	Jiangnan University	江南大学	中国内地
301-400	Keio University	庆应义塾大学	日本
301-400	Kyung Hee University	庆熙大学	韩国
301-400	Kyushu University	九州大学	日本
301-400	Lancaster University	兰卡斯特大学	英国
301-400	Linkoping University	林雪平大学	瑞典
301-400	Maastricht University	马斯特里赫特大学	荷兰
301-400	Macquarie University	麦考瑞大学	澳大利亚
301-400	Nanchang University	南昌大学	中国内地
301-400	Nanjing Normal University	南京师范大学	中国内地
301-400	Nanjing University of Information Science & Technology	南京信息工程大学	中国内地
301-400	Nanjing University of Posts and Telecommunications	南京邮电大学	中国内地
301-400	National and Kapodistrian University of Athens	雅典大学	希腊
301-400	National University of Defense Technology	中国人民解放军国防科技大学	中国内地
301-400	Ningbo University	宁波大学	中国内地
301-400	Northwest A&F University	西北农林科技大学	中国内地
301-400	Paul Sabatier University (Toulouse 3)	图卢兹第三大学	法国
301-400	Pohang University of Science and Technology	浦项理工大学	韩国
301-400	Princess Nourah bint Abdulrahman University	努拉·宾特·阿卜杜勒·拉赫曼公主大学	沙特阿拉伯
301-400	Qingdao University	青岛大学	中国内地
301-400	Queensland University of Technology	昆士兰科技大学	澳大利亚
301-400	Renmin University of China	中国人民大学	中国内地
301-400	RMIT University	皇家墨尔本理工大学	澳大利亚
301-400	Ruhr University Bochum	波鸿鲁尔大学	德国
301-400	Sao Paulo State University	圣保罗州立大学	巴西
301-400	Shanghai University	上海大学	中国内地
301-400	Southwest Jiaotong University	西南交通大学	中国内地
301-400	Southwest University	西南大学	中国内地
301-400	The University of Georgia	佐治亚大学	美国
301-400	The University of Tennessee, Knoxville	田纳西大学-诺克斯维尔	美国
301-400	The University of Texas at Dallas	德克萨斯大学-达拉斯	美国
301-400	Ulsan National Institute of Science and Technology	蔚山科学技术院	韩国
301-400	University College Dublin	都柏林大学学院	爱尔兰
301-400	University of Aberdeen	阿伯丁大学	英国
301-400	University of Bergen	卑尔根大学	挪威
301-400	University of Bordeaux	波尔多大学	法国
301-400	University of Cincinnati	辛辛那提大学	美国
301-400	University of Duisburg-Essen	杜伊斯堡-埃森大学	德国
301-400	University of East Anglia	东英吉利大学	英国
301-400	University of Florence	佛罗伦萨大学	意大利
301-400	University of Granada	格拉纳达大学	西班牙
301-400	University of Houston	休斯顿大学	美国
301-400	University of Illinois Chicago	伊利诺大学-芝加哥	美国
301-400	University of Iowa	爱荷华大学	美国
301-400	University of Kansas	堪萨斯大学-劳伦斯	美国
301-400	University of Kentucky	肯塔基大学	美国
301-400	University of Leicester	莱斯特大学	英国
301-400	University of Lisbon	里斯本大学	葡萄牙
301-400	University of Lorraine	洛林大学	法国
301-400	University of Macau	澳门大学	中国澳门
301-400	University of Marburg	马尔堡大学	德国
301-400	University of Miami	迈阿密大学	美国
301-400	University of Milano-Bicocca	米兰比可卡大学	意大利
301-400	University of Nebraska, Lincoln	内布拉斯加大学-林肯	美国
301-400	University of Notre Dame	圣母大学	美国
301-400	University of Porto	波尔图大学	葡萄牙
301-400	University of Potsdam	波茨坦大学	德国
301-400	University of Shanghai for Science and Technology	上海理工大学	中国内地
301-400	University of Southern Denmark	南丹麦大学	丹麦
301-400	University of St Andrews	圣安德鲁斯大学	英国
301-400	University of Stuttgart	斯图加特大学	德国
301-400	University of Tasmania	塔斯马尼亚大学	澳大利亚
301-400	University of the Basque Country	巴斯克大学	西班牙
301-400	University of the Witwatersrand	金山大学	南非
301-400	University of Trento	特伦托大学	意大利
301-400	University of Tsukuba	筑波大学	日本
301-400	University of Turku	图尔库大学	芬兰
301-400	University of Valencia	巴伦西亚大学	西班牙
301-400	University of Victoria	维多利亚大学（加拿大）	加拿大
301-400	University of Wollongong	沃隆港大学	澳大利亚
301-400	University of York	约克大学（约克）	英国
301-400	Vienna University of Technology	维也纳工业大学	奥地利
301-400	Virginia Commonwealth University	弗吉尼亚联邦（州立）大学	美国
301-400	Wenzhou Medical University	温州医科大学	中国内地
301-400	Western Sydney University	西悉尼大学	澳大利亚
301-400	Xidian University	西安电子科技大学	中国内地
301-400	Yunnan University	云南大学	中国内地
401-500	Aalto University	阿尔托大学	芬兰
401-500	Albert Einstein College of Medicine	阿尔伯特·爱因斯坦医学院	美国
401-500	Auburn University	奥本大学	美国
401-500	Bangor University	威尔士班戈大学	英国
401-500	Beijing Jiaotong University	北京交通大学	中国内地
401-500	Ben-Gurion University of the Negev	内盖夫本·古里安大学	以色列
401-500	Brandeis University	布兰迪斯大学	美国
401-500	Cairo University	开罗大学	埃及
401-500	Catholic University of the Sacred Heart	圣心天主教大学	意大利
401-500	Charles University	查理大学	捷克
401-500	China University of Geosciences Beijing	中国地质大学（北京）	中国内地
401-500	China University of Mining and Technology	中国矿业大学	中国内地
401-500	China University of Petroleum, Beijing	中国石油大学（北京）	中国内地
401-500	CUNY Graduate School and University Center	纽约城市大学研究生院和大学中心	美国
401-500	Donghua University	东华大学	中国内地
401-500	Drexel University	德雷塞尔大学	美国
401-500	Flinders University	弗林德斯大学	澳大利亚
401-500	Fujian Agriculture and Forestry University	福建农林大学	中国内地
401-500	Guangzhou University	广州大学	中国内地
401-500	Harbin Engineering University	哈尔滨工程大学	中国内地
401-500	Hefei University of Technology	合肥工业大学	中国内地
401-500	Hiroshima University	广岛大学	日本
401-500	Indiana University, Indianapolis	印第安纳大学-印第安纳波利斯	美国
401-500	Iowa State University	爱荷华州立大学	美国
401-500	King Khalid University	哈立德国王大学	沙特阿拉伯
401-500	Kunming University of Science and Technology	昆明理工大学	中国内地
401-500	Kyungpook National University	庆北大学	韩国
401-500	La Trobe University	乐卓博大学	澳大利亚
401-500	Leibniz University Hannover	汉诺威大学	德国
401-500	Louisiana State University, Baton Rouge	路易斯安娜州立大学-巴吞鲁日	美国
401-500	Masaryk University	马萨里克大学	捷克
401-500	Nanjing Forestry University	南京林业大学	中国内地
401-500	Nanjing University of Chinese Medicine	南京中医药大学	中国内地
401-500	Nantong University	南通大学	中国内地
401-500	National Cheng Kung University	台湾成功大学	中国台湾
401-500	National Tsing Hua University	台湾清华大学	中国台湾
401-500	National Yang Ming Chiao Tung University	台湾阳明交通大学	中国台湾
401-500	North China Electric Power University	华北电力大学	中国内地
401-500	Northeast Forestry University	东北林业大学	中国内地
401-500	Northwest University	西北大学（西安）	中国内地
401-500	Okinawa Institute of Science and Technology Graduate University	冲绳科学技术大学院大学	日本
401-500	Polytechnic University of Valencia	瓦伦西亚理工大学	西班牙
401-500	Pompeu Fabra University	庞培法布拉大学	西班牙
401-500	Pusan National University	釜山大学	韩国
401-500	Saarland University	萨尔大学	德国
401-500	Shaanxi Normal University	陕西师范大学	中国内地
401-500	Shandong First Medical University	山东第一医科大学	中国内地
401-500	Shanxi University	山西大学	中国内地
401-500	Simon Fraser University	西蒙菲莎大学	加拿大
401-500	South China Agricultural University	华南农业大学	中国内地
401-500	South China Normal University	华南师范大学	中国内地
401-500	Stellenbosch University	斯坦陵布什大学	南非
401-500	Swedish University of Agricultural Sciences	瑞典农业科学大学	瑞典
401-500	Taif University	塔伊夫大学	沙特阿拉伯
401-500	Taiyuan University of Technology	太原理工大学	中国内地
401-500	Temple University	天普大学	美国
401-500	The Chinese University of Hong Kong, Shenzhen	香港中文大学（深圳）	中国内地
401-500	The University of Newcastle, Australia	纽卡斯尔大学（澳大利亚纽卡斯尔）	澳大利亚
401-500	The University of Texas at San Antonio	德克萨斯大学-圣安东尼奥	美国
401-500	Tianjin Medical University	天津医科大学	中国内地
401-500	Toulouse Capitole University	图卢兹第一大学	法国
401-500	University at Buffalo, the State University of New York	纽约州立大学-布法罗	美国
401-500	University College Cork	科克大学（爱尔兰）	爱尔兰
401-500	University of Alabama at Birmingham	阿拉巴马大学-伯明翰	美国
401-500	University of Bari	巴里大学（意大利）	意大利
