201-250	Goethe University Frankfurt	法兰克福歌德大学	德国	56.4-58.6
201-250	Hong Kong Baptist University	香港浸会大学	中国香港	56.4-58.6
201-250	Indian Institute of Science	印度科学学院	印度	56.4-58.6
201-250	Khalifa University	哈利法大学	阿联酋	56.4-58.6
201-250	Linköping University	林雪平大学	瑞典	56.4-58.6
201-250	Medical University of Graz	格拉茨医科大学	奥地利	56.4-58.6
201-250	Medical University of Innsbruck	因斯布鲁克医科大学	奥地利	56.4-58.6
201-250	Nagoya University	名古屋大学	日本	56.4-58.6
201-250	Northeastern University, US	美国东北大学	美国	56.4-58.6
201-250	Politecnico di Milano	米兰理工大学	意大利	56.4-58.6
201-250	Qatar University	卡塔尔大学	卡塔尔	56.4-58.6
201-250	Queensland University of Technology	昆士兰科技大学	澳大利亚	56.4-58.6
201-250	Sant’Anna School of Advanced Studies – Pisa	比萨圣安娜高等研究学院	意大利	56.4-58.6
201-250	Sichuan University	四川大学	中国内地	56.4-58.6
201-250	Stockholm University	斯德哥尔摩大学	瑞典	56.4-58.6
201-250	Sun Yat-sen University	中山大学	中国内地	56.4-58.6
201-250	Tel Aviv University	特拉维夫大学	以色列	56.4-58.6
201-250	Tianjin University	天津大学	中国内地	56.4-58.6
201-250	Ulsan National Institute of Science and Technology (UNIST)	蔚山国立科学技术院	韩国	56.4-58.6
201-250	United Arab Emirates University	阿联酋大学	阿联酋	56.4-58.6
201-250	Université Libre de Bruxelles	布鲁塞尔自由大学（法语区）	比利时	56.4-58.6
201-250	Universiti Teknologi Petronas	PETRONAS马来西亚理工大学	马来西亚	56.4-58.6
201-250	University College Dublin	都柏林大学	爱尔兰	56.4-58.6
201-250	University of Aberdeen	阿伯丁大学	英国	56.4-58.6
201-250	University of Erlangen-Nuremberg	埃尔朗根-纽伦堡大学	德国	56.4-58.6
201-250	University of Gothenburg	哥德堡大学	瑞典	56.4-58.6
201-250	University of Illinois Chicago	伊利诺伊大学芝加哥分校	美国	56.4-58.6
201-250	University of Malaya	马来亚大学	马来西亚	56.4-58.6
201-250	University of Mannheim	曼海姆大学	德国	56.4-58.6
201-250	University of Miami	迈阿密大学	美国	56.4-58.6
