96	Nanjing Tech University (NanjingTech)	China	230.54	576.0
97	The University of North Carolina at Chapel Hill (UNC)	United States of America (USA)	227.82	1003.0
98	The Pennsylvania State University (Penn State)	United States of America (USA)	225.67	880.0
99	University of Science and Technology Beijing (USTB)	China	221.2	502.0
100	Chinese Academy of Agricultural Sciences (CAAS)	China	220.18	826.0
101	Ocean University of China (OUC)	China	217.81	653.0
102	Jinan University (JNU)	China	217.18	519.0
103	Purdue University	United States of America (USA)	214.84	550.0
104	China University of Geosciences (CUG)	China	213.91	697.0
105	University of Pittsburgh (Pitt)	United States of America (USA)	213.76	978.0
106	Nanchang University (NCU)	China	212.79	508.0
107	University of Southern California (USC)	United States of America (USA)	211.05	708.0
108	Yangzhou University (YZU)	China	210.8	534.0
109	Guangdong University of Technology (GDUT)	China	209.9	526.0
110	Nanjing University of Science and Technology (NUST)	China	206.56	414.0
111	University of Electronic Science and Technology of China (UESTC)	China	204.73	563.0
112	Wuhan University of Technology (WUT)	China	203.35	447.0
113	Monash University	Australia	202.02	973.0
114	Emory University	United States of America (USA)	200.01	743.0
115	Shanghai University (SHU)	China	199.03	526.0
116	The University of British Columbia (UBC)	Canada	199.02	798.0
117	The University of Osaka (UOsaka)	Japan	198.01	614.0
118	Qingdao University of Science and Technology (QUST)	China	196.07	323.0
119	University of Colorado Boulder (CU-Boulder)	United States of America (USA)	194.29	947.0
120	University of California, Davis (UC Davis)	United States of America (USA)	194.26	743.0
121	The Ohio State University (OSU)	United States of America (USA)	193.22	975.0
122	Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC)	China	192.49	1051.0
123	Jiangsu University (JSU)	China	192.34	381.0
124	Westlake University	China	191.12	513.0
125	Tohoku University	Japan	190.53	804.0
126	University of Florida (UF)	United States of America (USA)	189.94	969.0
127	China Ministry of Ecology and Environment (MEE)	China	189.84	743.0
128	Russian Academy of Sciences (RAS)	Russia	188.91	566.0
129	Guangxi University (GXU)	China	188.87	454.0
130	Texas A&M University (TAMU)	United States of America (USA)	188.09	767.0
131	The University of Edinburgh	United Kingdom (UK)	187.02	914.0
132	Southwest University (SWU)	China	186.1	403.0
133	Jiangnan University	China	185.92	381.0
134	University of California, Santa Barbara (UCSB)	United States of America (USA)	184.32	614.0
